Division Number: 250
Division Date: 24/10/2018

Northern Ireland (Executive Formation and Exercise of Functions) Bill: report stage: New Clause 7

Aye Count: 207
Noes Count: 117

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Richard Benyon","Conservative","Newbury","No Vote Recorded",""
"John Bercow","Speaker","Buckingham","No Vote Recorded",""
"Paul Beresford","Conservative","Mole Valley","No Vote Recorded",""
"Luciana Berger","Labour","Liverpool, Wavertree","Aye",""
"Jake Berry","Conservative","Rossendale and Darwen","No Vote Recorded",""
"Clive Betts","Labour","Sheffield South East","No Vote Recorded",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No Vote Recorded",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No Vote Recorded",""
"Bob Blackman","Conservative","Harrow East","No",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Roberta Blackman-Woods","Labour","City of Durham","Aye",""
"Paul Blomfield","Labour","Sheffield Central","Aye",""
"Crispin Blunt","Conservative","Reigate","Aye",""
"Nick Boles","Conservative","Grantham and Stamford","Aye",""
"Peter Bone","Conservative","Wellingborough","No",""
"Peter Bottomley","Conservative","Worthing West","No Vote Recorded",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","No Vote Recorded",""
"Tracy Brabin","Labour","Batley and Spen","Aye",""
"Ben Bradley","Conservative","Mansfield","No Vote Recorded",""
"Karen Bradley","Conservative","Staffordshire Moorlands","No Vote Recorded",""
"Ben Bradshaw","Labour","Exeter","Aye",""
"Mickey Brady","Sinn F?in","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","No",""
"Tom Brake","Liberal Democrat","Carshalton and Wallington","Aye",""
"Suella Braverman","Conservative","Fareham","No Vote Recorded",""
"Kevin Brennan","Labour","Cardiff West","Aye",""
"Jack Brereton","Conservative","Stoke-on-Trent South","No Vote Recorded",""
"Andrew Bridgen","Conservative","North West Leicestershire","No",""
"Steve Brine","Conservative","Winchester","No",""
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","No Vote Recorded",""
"James Brokenshire","Conservative","Old Bexley and Sidcup","No Vote Recorded",""
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","No Vote Recorded",""
"Lyn Brown","Labour","West Ham","Aye",""
"Nicholas Brown","Labour","Newcastle upon Tyne East","Aye",""
"Fiona Bruce","Conservative","Congleton","No",""
"Chris Bryant","Labour","Rhondda","Aye",""
"Karen Buck","Labour","Westminster North","Aye",""
"Robert Buckland","Conservative","South Swindon","No Vote Recorded",""
"Richard Burden","Labour","Birmingham, Northfield","Aye",""
"Alex Burghart","Conservative","Brentwood and Ongar","No Vote Recorded",""
"Richard Burgon","Labour","Leeds East","No Vote Recorded",""
"Conor Burns","Conservative","Bournemouth West","No Vote Recorded",""
"Alistair Burt","Conservative","North East Bedfordshire","Aye",""
"Dawn Butler","Labour","Brent Central","Aye",""
"Liam Byrne","Labour","Birmingham, Hodge Hill","Aye",""
"Vince Cable","Liberal Democrat","Twickenham","Aye",""
"Ruth Cadbury","Labour","Brentford and Isleworth","Aye",""
"Alun Cairns","Conservative","Vale of Glamorgan","No Vote Recorded",""
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","No Vote Recorded",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","No",""
"Ronnie Campbell","Labour","Blyth Valley","No Vote Recorded",""
"Alan Campbell","Labour","Tynemouth","Aye",""
"Dan Carden","Labour","Liverpool, Walton","Aye",""
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","No Vote Recorded",""
"James Cartlidge","Conservative","South Suffolk","No",""
"William Cash","Conservative","Stone","No",""
"Maria Caulfield","Conservative","Lewes","No Vote Recorded",""
"Alex Chalk","Conservative","Cheltenham","No Vote Recorded",""
"Sarah Champion","Labour","Rotherham","No Vote Recorded",""
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","No Vote Recorded",""
"Jenny Chapman","Labour","Darlington","Aye",""
"Bambos Charalambous","Labour","Enfield, Southgate","Aye",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","No Vote Recorded",""
"Rehman Chishti","Conservative","Gillingham and Rainham","No",""
"Christopher Chope","Conservative","Christchurch","No Vote Recorded",""
"Jo Churchill","Conservative","Bury St Edmunds","No Vote Recorded",""
"Colin Clark","Conservative","Gordon","No",""
"Greg Clark","Conservative","Tunbridge Wells","Aye",""
"Kenneth Clarke","Conservative","Rushcliffe","Aye",""
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","No",""
"James Cleverly","Conservative","Braintree","No Vote Recorded",""
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","No",""
"Ann Clwyd","Labour","Cynon Valley","No Vote Recorded",""
"Vernon Coaker","Labour","Gedling","Aye",""
"Ann Coffey","Labour","Stockport","No Vote Recorded",""
"Th?r?se Coffey","Conservative","Suffolk Coastal","No",""
"Damian Collins","Conservative","Folkestone and Hythe","Aye",""
"Julie Cooper","Labour","Burnley","Aye",""
"Rosie Cooper","Labour","West Lancashire","No Vote Recorded",""
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","Aye",""
"Jeremy Corbyn","Labour","Islington North","Aye",""
"Alberto Costa","Conservative","South Leicestershire","No Vote Recorded",""
"Robert Courts","Conservative","Witney","No Vote Recorded",""
"Ronnie Cowan","Scottish National Party","Inverclyde","No Vote Recorded",""
"Geoffrey Cox","Conservative","Torridge and West Devon","No Vote Recorded",""
"Neil Coyle","Labour","Bermondsey and Old Southwark","Aye",""
"Stephen Crabb","Conservative","Preseli Pembrokeshire","No",""
"David Crausby","Labour","Bolton North East","No Vote Recorded",""
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","No Vote Recorded",""
"Mary Creagh","Labour","Wakefield","Aye",""
"Stella Creasy","Labour","Walthamstow","Teller - Ayes",""
"Tracey Crouch","Conservative","Chatham and Aylesford","Aye",""
"Jon Cruddas","Labour","Dagenham and Rainham","Aye",""
"John Cryer","Labour","Leyton and Wanstead","Aye",""
"Judith Cummins","Labour","Bradford South","No Vote Recorded",""
"Alex Cunningham","Labour","Stockton North","Aye",""
"Jim Cunningham","Labour","Coventry South","Aye",""
"Janet Daby","Labour","Lewisham East","Aye",""
"Nic Dakin","Labour","Scunthorpe","Aye",""
"Edward Davey","Liberal Democrat","Kingston and Surbiton","Aye",""
"Wayne David","Labour","Caerphilly","Aye",""
"Chris Davies","Conservative","Brecon and Radnorshire","No",""
"David T. C. Davies","Conservative","Monmouth","No Vote Recorded",""
"Geraint Davies","Labour","Swansea West","No Vote Recorded",""
"Glyn Davies","Conservative","Montgomeryshire","No",""
"Mims Davies","Conservative","Eastleigh","No Vote Recorded",""
"Philip Davies","Conservative","Shipley","No",""
"David Davis","Conservative","Haltemprice and Howden","No Vote Recorded",""
"Martyn Day","Scottish National Party","Linlithgow and East Falkirk","No Vote Recorded",""
"Marsha De Cordova","Labour","Battersea","No Vote Recorded",""
"Gloria De Piero","Labour","Ashfield","No Vote Recorded",""
"Thangam Debbonaire","Labour","Bristol West","Aye",""
"Emma Dent Coad","Labour","Kensington","No Vote Recorded",""
"Tanmanjeet Singh Dhesi","Labour","Slough","No Vote Recorded",""
"Caroline Dinenage","Conservative","Gosport","Aye",""
"Jonathan Djanogly","Conservative","Huntingdon","No Vote Recorded",""
"Leo Docherty","Conservative","Aldershot","No Vote Recorded",""
"Martin Docherty-Hughes","Scottish National Party","West Dunbartonshire","No Vote Recorded",""
"Anneliese Dodds","Labour","Oxford East","Aye",""
"Nigel Dodds","Democratic Unionist Party","Belfast North","No",""
"Jeffrey M. Donaldson","Democratic Unionist Party","Lagan Valley","No",""
"Michelle Donelan","Conservative","Chippenham","No",""
"Nadine Dorries","Conservative","Mid Bedfordshire","No Vote Recorded",""
"Steve Double","Conservative","St Austell and Newquay","No",""
"Stephen Doughty","Labour","Cardiff South and Penarth","Aye",""
"Peter Dowd","Labour","Bootle","No Vote Recorded",""
"Oliver Dowden","Conservative","Hertsmere","No",""
"Jackie Doyle-Price","Conservative","Thurrock","No Vote Recorded",""
"Richard Drax","Conservative","South Dorset","No",""
"David Drew","Labour","Stroud","No Vote Recorded",""
"Jack Dromey","Labour","Birmingham, Erdington","No Vote Recorded",""
"James Duddridge","Conservative","Rochford and Southend East","Aye",""
"Rosie Duffield","Labour","Canterbury","Aye",""
"David Duguid","Conservative","Banff and Buchan","No Vote Recorded",""
"Iain Duncan Smith","Conservative","Chingford and Woodford Green","No",""
"Alan Duncan","Conservative","Rutland and Melton","No Vote Recorded",""
"Philip Dunne","Conservative","Ludlow","No",""
"Maria Eagle","Labour","Garston and Halewood","Aye",""
"Angela Eagle","Labour","Wallasey","Aye",""
"Jonathan Edwards","Plaid Cymru","Carmarthen East and Dinefwr","Aye",""
"Clive Efford","Labour","Eltham","Aye",""
"Julie Elliott","Labour","Sunderland Central","Aye",""
"Michael Ellis","Conservative","Northampton North","No Vote Recorded",""
"Louise Ellman","Labour","Liverpool, Riverside","Aye",""
"Tobias Ellwood","Conservative","Bournemouth East","No Vote Recorded",""
"Chris Elmore","Labour","Ogmore","Aye",""
"Charlie Elphicke","Independent","Dover","No Vote Recorded",""
"Bill Esterson","Labour","Sefton Central","Aye",""
"George Eustice","Conservative","Camborne and Redruth","No",""
"Chris Evans","Labour","Islwyn","No Vote Recorded",""
"Nigel Evans","Conservative","Ribble Valley","No",""
"David Evennett","Conservative","Bexleyheath and Crayford","No Vote Recorded",""
"Michael Fabricant","Conservative","Lichfield","Aye",""
"Michael Fallon","Conservative","Sevenoaks","No Vote Recorded",""
"Paul Farrelly","Labour","Newcastle-under-Lyme","Aye",""
"Tim Farron","Liberal Democrat","Westmorland and Lonsdale","No Vote Recorded",""
"Marion Fellows","Scottish National Party","Motherwell and Wishaw","No Vote Recorded",""
"Frank Field","Independent","Birkenhead","No Vote Recorded",""
"Mark Field","Conservative","Cities of London and Westminster","No Vote Recorded",""
"Jim Fitzpatrick","Labour","Poplar and Limehouse","Aye",""
"Colleen Fletcher","Labour","Coventry North East","No Vote Recorded",""
"Caroline Flint","Labour","Don Valley","No Vote Recorded",""
"Vicky Ford","Conservative","Chelmsford","No Vote Recorded",""
"Kevin Foster","Conservative","Torbay","No",""
"Yvonne Fovargue","Labour","Makerfield","No Vote Recorded",""
"Liam Fox","Conservative","North Somerset","No Vote Recorded",""
"Vicky Foxcroft","Labour","Lewisham, Deptford","Aye",""
"Mark Francois","Conservative","Rayleigh and Wickford","No",""
"Lucy Frazer","Conservative","South East Cambridgeshire","No Vote Recorded",""
"George Freeman","Conservative","Mid Norfolk","Aye",""
"Mike Freer","Conservative","Finchley and Golders Green","Aye",""
"James Frith","Labour","Bury North","No Vote Recorded",""
"Gill Furniss","Labour","Sheffield, Brightside and Hillsborough","Aye",""
"Marcus Fysh","Conservative","Yeovil","No Vote Recorded",""
"Hugh Gaffney","Labour","Coatbridge, Chryston and Bellshill","No Vote Recorded",""
"Roger Gale","Conservative","North Thanet","No",""
"Mike Gapes","Labour","Ilford South","No Vote Recorded",""
"Barry Gardiner","Labour","Brent North","No Vote Recorded",""
"Mark Garnier","Conservative","Wyre Forest","No Vote Recorded",""
"David Gauke","Conservative","South West Hertfordshire","No Vote Recorded",""
"Ruth George","Labour","High Peak","Aye",""
"Stephen Gethins","Scottish National Party","North East Fife","No Vote Recorded",""
"Nusrat Ghani","Conservative","Wealden","No Vote Recorded",""
"Nick Gibb","Conservative","Bognor Regis and Littlehampton","No Vote Recorded",""
"Patricia Gibson","Scottish National Party","North Ayrshire and Arran","No Vote Recorded",""
"Michelle Gildernew","Sinn F?in","Fermanagh and South Tyrone","No Vote Recorded",""
"Preet Kaur Gill","Labour","Birmingham, Edgbaston","No Vote Recorded",""
"Cheryl Gillan","Conservative","Chesham and Amersham","No Vote Recorded",""
"Paul Girvan","Democratic Unionist Party","South Antrim","No",""
"John Glen","Conservative","Salisbury","No",""
"Mary Glindon","Labour","North Tyneside","No",""
"Roger Godsiff","Labour","Birmingham, Hall Green","No Vote Recorded",""
"Zac Goldsmith","Conservative","Richmond Park","Aye",""
"Helen Goodman","Labour","Bishop Auckland","Aye",""
"Robert Goodwill","Conservative","Scarborough and Whitby","No",""
"Michael Gove","Conservative","Surrey Heath","No Vote Recorded",""
"Patrick Grady","Scottish National Party","Glasgow North","No Vote Recorded",""
"Luke Graham","Conservative","Ochil and South Perthshire","Aye",""
"Richard Graham","Conservative","Gloucester","No Vote Recorded",""
"Bill Grant","Conservative","Ayr, Carrick and Cumnock","No",""
"Helen Grant","Conservative","Maidstone and The Weald","Aye",""
"Peter Grant","Scottish National Party","Glenrothes","No Vote Recorded",""
"James Gray","Conservative","North Wiltshire","No Vote Recorded",""
"Neil Gray","Scottish National Party","Airdrie and Shotts","No Vote Recorded",""
"Chris Grayling","Conservative","Epsom and Ewell","No",""
"Chris Green","Conservative","Bolton West","No",""
"Damian Green","Conservative","Ashford","No",""
"Kate Green","Labour","Stretford and Urmston","Aye",""
"Justine Greening","Conservative","Putney","Aye",""
"Lilian Greenwood","Labour","Nottingham South","Aye",""
"Margaret Greenwood","Labour","Wirral West","No Vote Recorded",""
"Dominic Grieve","Conservative","Beaconsfield","No Vote Recorded",""
"Nia Griffith","Labour","Llanelli","Aye",""
"Andrew Griffiths","Independent","Burton","No Vote Recorded",""
"John Grogan","Labour","Keighley","No Vote Recorded",""
"Andrew Gwynne","Labour","Denton and Reddish","No Vote Recorded",""
"Sam Gyimah","Conservative","East Surrey","No Vote Recorded",""
"Louise Haigh","Labour","Sheffield, Heeley","No Vote Recorded",""
"Kirstene Hair","Conservative","Angus","No",""
"Robert Halfon","Conservative","Harlow","No Vote Recorded",""
"Luke Hall","Conservative","Thornbury and Yate","Aye",""
"Fabian Hamilton","Labour","Leeds North East","No Vote Recorded",""
"Philip Hammond","Conservative","Runnymede and Weybridge","No Vote Recorded",""
"Stephen Hammond","Conservative","Wimbledon","No Vote Recorded",""
"Matt Hancock","Conservative","West Suffolk","No Vote Recorded",""
"Greg Hands","Conservative","Chelsea and Fulham","No",""
"David Hanson","Labour","Delyn","Aye",""
"Emma Hardy","Labour","Kingston upon Hull West and Hessle","No Vote Recorded",""
"Harriet Harman","Labour","Camberwell and Peckham","No Vote Recorded",""
"Mark Harper","Conservative","Forest of Dean","No Vote Recorded",""
"Richard Harrington","Conservative","Watford","No Vote Recorded",""
"Carolyn Harris","Labour","Swansea East","Aye",""
"Rebecca Harris","Conservative","Castle Point","No Vote Recorded",""
"Trudy Harrison","Conservative","Copeland","No",""
"Simon Hart","Conservative","Carmarthen West and South Pembrokeshire","No Vote Recorded",""
"Helen Hayes","Labour","Dulwich and West Norwood","Aye",""
"John Hayes","Conservative","South Holland and The Deepings","No Vote Recorded",""
"Sue Hayman","Labour","Workington","Aye",""
"Chris Hazzard","Sinn F?in","South Down","No Vote Recorded",""
"Oliver Heald","Conservative","North East Hertfordshire","No",""
"John Healey","Labour","Wentworth and Dearne","No Vote Recorded",""
"James Heappey","Conservative","Wells","Aye",""
"Chris Heaton-Harris","Conservative","Daventry","No Vote Recorded",""
"Peter Heaton-Jones","Conservative","North Devon","No Vote Recorded",""
"Gordon Henderson","Conservative","Sittingbourne and Sheppey","No Vote Recorded",""
"Mark Hendrick","Labour","Preston","Aye",""
"Mark Hendrick","Labour","Preston","No",""
"Drew Hendry","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey","No Vote Recorded",""
"Stephen Hepburn","Labour","Jarrow","No Vote Recorded",""
"Nick Herbert","Conservative","Arundel and South Downs","No Vote Recorded",""
"Lady Hermon","Independent","North Down","No Vote Recorded",""
"Mike Hill","Labour","Hartlepool","Aye",""
"Meg Hillier","Labour","Hackney South and Shoreditch","No Vote Recorded",""
"Damian Hinds","Conservative","East Hampshire","No Vote Recorded",""
"Simon Hoare","Conservative","North Dorset","Teller - Noes",""
"Wera Hobhouse","Liberal Democrat","Bath","Aye",""
"Margaret Hodge","Labour","Barking","No Vote Recorded",""
"Sharon Hodgson","Labour","Washington and Sunderland West","Aye",""
"Kate Hoey","Labour","Vauxhall","No Vote Recorded",""
"Kate Hollern","Labour","Blackburn","No Vote Recorded",""
"George Hollingbery","Conservative","Meon Valley","No Vote Recorded",""
"Kevin Hollinrake","Conservative","Thirsk and Malton","No",""
"Philip Hollobone","Conservative","Kettering","No",""
"Adam Holloway","Conservative","Gravesham","No",""
"Kelvin Hopkins","Independent","Luton North","No Vote Recorded",""
"Stewart Hosie","Scottish National Party","Dundee East","No Vote Recorded",""
"George Howarth","Labour","Knowsley","No Vote Recorded",""
"John Howell","Conservative","Henley","No",""
"Lindsay Hoyle","Deputy Speaker","Chorley","No Vote Recorded",""
"Nigel Huddleston","Conservative","Mid Worcestershire","No Vote Recorded",""
"Eddie Hughes","Conservative","Walsall North","No",""
"Jeremy Hunt","Conservative","South West Surrey","No Vote Recorded",""
"Rupa Huq","Labour","Ealing Central and Acton","Aye",""
"Nick Hurd","Conservative","Ruislip, Northwood and Pinner","No Vote Recorded",""
"Imran Hussain","Labour","Bradford East","No Vote Recorded",""
"Alister Jack","Conservative","Dumfries and Galloway","No",""
"Margot James","Conservative","Stourbridge","Aye",""
"Christine Jardine","Liberal Democrat","Edinburgh West","Aye",""
"Dan Jarvis","Labour","Barnsley Central","No Vote Recorded",""
"Sajid Javid","Conservative","Bromsgrove","No",""
"Ranil Jayawardena","Conservative","North East Hampshire","No Vote Recorded",""
"Bernard Jenkin","Conservative","Harwich and North Essex","No Vote Recorded",""
"Andrea Jenkyns","Conservative","Morley and Outwood","No Vote Recorded",""
"Robert Jenrick","Conservative","Newark","No",""
"Boris Johnson","Conservative","Uxbridge and South Ruislip","No Vote Recorded",""
"Diana Johnson","Labour","Kingston upon Hull North","Aye",""
"Caroline Johnson","Conservative","Sleaford and North Hykeham","No",""
"Gareth Johnson","Conservative","Dartford","No Vote Recorded",""
"Joseph Johnson","Conservative","Orpington","No Vote Recorded",""
"Andrew Jones","Conservative","Harrogate and Knaresborough","No Vote Recorded",""
"Darren Jones","Labour","Bristol North West","No Vote Recorded",""
"Gerald Jones","Labour","Merthyr Tydfil and Rhymney","Aye",""
"Graham P Jones","Labour","Hyndburn","Aye",""
"Helen Jones","Labour","Warrington North","No Vote Recorded",""
"David Jones","Conservative","Clwyd West","No",""
"Kevan Jones","Labour","North Durham","Aye",""
"Marcus Jones","Conservative","Nuneaton","No",""
"Sarah Jones","Labour","Croydon Central","Aye",""
"Susan Elan Jones","Labour","Clwyd South","No Vote Recorded",""
"Mike Kane","Labour","Wythenshawe and Sale East","No Vote Recorded",""
"Daniel Kawczynski","Conservative","Shrewsbury and Atcham","No",""
"Gillian Keegan","Conservative","Chichester","No Vote Recorded",""
"Barbara Keeley","Labour","Worsley and Eccles South","No Vote Recorded",""
"Liz Kendall","Labour","Leicester West","Aye",""
"Seema Kennedy","Conservative","South Ribble","No Vote Recorded",""
"Stephen Kerr","Conservative","Stirling","No",""
"Afzal Khan","Labour","Manchester, Gorton","Aye",""
"Ged Killen","Labour","Rutherglen and Hamilton West","Aye",""
"Stephen Kinnock","Labour","Aberavon","Aye",""
"Julian Knight","Conservative","Solihull","No Vote Recorded",""
"Greg Knight","Conservative","East Yorkshire","No Vote Recorded",""
"Kwasi Kwarteng","Conservative","Spelthorne","No Vote Recorded",""
"Peter Kyle","Labour","Hove","Aye",""
"Eleanor Laing","Deputy Speaker","Epping Forest","No Vote Recorded",""
"Lesley Laird","Labour","Kirkcaldy and Cowdenbeath","Aye",""
"Ben Lake","Plaid Cymru","Ceredigion","Aye",""
"Norman Lamb","Liberal Democrat","North Norfolk","No Vote Recorded",""
"David Lammy","Labour","Tottenham","Aye",""
"John Lamont","Conservative","Berwickshire, Roxburgh and Selkirk","No",""
"Mark Lancaster","Conservative","Milton Keynes North","No Vote Recorded",""
"Pauline Latham","Conservative","Mid Derbyshire","No Vote Recorded",""
"Ian Lavery","Labour","Wansbeck","No Vote Recorded",""
"Chris Law","Scottish National Party","Dundee West","No Vote Recorded",""
"Andrea Leadsom","Conservative","South Northamptonshire","No Vote Recorded",""
"Phillip Lee","Conservative","Bracknell","No Vote Recorded",""
"Karen Lee","Labour","Lincoln","Aye",""
"Jeremy Lefroy","Conservative","Stafford","No",""
"Edward Leigh","Conservative","Gainsborough","No",""
"Chris Leslie","Labour","Nottingham East","Aye",""
"Oliver Letwin","Conservative","West Dorset","No",""
"Emma Lewell-Buck","Labour","South Shields","No Vote Recorded",""
"Andrew Lewer","Conservative","Northampton South","No",""
"Brandon Lewis","Conservative","Great Yarmouth","No Vote Recorded",""
"Clive Lewis","Labour","Norwich South","No Vote Recorded",""
"Julian Lewis","Conservative","New Forest East","No Vote Recorded",""
"Ivan Lewis","Independent","Bury South","No Vote Recorded",""
"Ian Liddell-Grainger","Conservative","Bridgwater and West Somerset","No",""
"David Lidington","Conservative","Aylesbury","No Vote Recorded",""
"David Linden","Scottish National Party","Glasgow East","No Vote Recorded",""
"Emma Little Pengelly","Democratic Unionist Party","Belfast South","No",""
"Stephen Lloyd","Liberal Democrat","Eastbourne","Aye",""
"Tony Lloyd","Labour","Rochdale","Aye",""
"Rebecca Long Bailey","Labour","Salford and Eccles","No Vote Recorded",""
"Julia Lopez","Conservative","Hornchurch and Upminster","No Vote Recorded",""
"Jack Lopresti","Conservative","Filton and Bradley Stoke","No Vote Recorded",""
"Jonathan Lord","Conservative","Woking","No",""
"Tim Loughton","Conservative","East Worthing and Shoreham","Aye",""
"Caroline Lucas","Green Party","Brighton, Pavilion","Aye",""
"Ian C. Lucas","Labour","Wrexham","Aye",""
"Holly Lynch","Labour","Halifax","No Vote Recorded",""
"Craig Mackinlay","Conservative","South Thanet","No Vote Recorded",""
"Rachel Maclean","Conservative","Redditch","No Vote Recorded",""
"Angus Brendan MacNeil","Scottish National Party","Na h-Eileanan an Iar","No Vote Recorded",""
"Justin Madders","Labour","Ellesmere Port and Neston","Aye",""
"Khalid Mahmood","Labour","Birmingham, Perry Barr","Aye",""
"Shabana Mahmood","Labour","Birmingham, Ladywood","No Vote Recorded",""
"Anne Main","Conservative","St Albans","No",""
"Alan Mak","Conservative","Havant","No Vote Recorded",""
"Seema Malhotra","Labour","Feltham and Heston","Aye",""
"Kit Malthouse","Conservative","North West Hampshire","Aye",""
"John Mann","Labour","Bassetlaw","Aye",""
"Scott Mann","Conservative","North Cornwall","No",""
"Gordon Marsden","Labour","Blackpool South","No Vote Recorded",""
"Sandy Martin","Labour","Ipswich","Aye",""
"Rachael Maskell","Labour","York Central","No",""
"Paul Maskey","Sinn F?in","Belfast West","No Vote Recorded",""
"Paul Masterton","Conservative","East Renfrewshire","Aye",""
"Christian Matheson","Labour","City of Chester","Aye",""
"Theresa May","Conservative","Maidenhead","No Vote Recorded",""
"Paul Maynard","Conservative","Blackpool North and Cleveleys","No",""
"Steve McCabe","Labour","Birmingham, Selly Oak","Aye",""
"Elisha McCallion","Sinn F?in","Foyle","No Vote Recorded",""
"Kerry McCarthy","Labour","Bristol East","Aye",""
"Siobhain McDonagh","Labour","Mitcham and Morden","Aye",""
"Andy McDonald","Labour","Middlesbrough","No Vote Recorded",""
"Stewart Malcolm McDonald","Scottish National Party","Glasgow South","No Vote Recorded",""
"Stuart C. McDonald","Scottish National Party","Cumbernauld, Kilsyth and Kirkintilloch East","No Vote Recorded",""
"John McDonnell","Labour","Hayes and Harlington","No Vote Recorded",""
"Pat McFadden","Labour","Wolverhampton South East","Aye",""
"Conor McGinn","Labour","St Helens North","Teller - Ayes",""
"Alison McGovern","Labour","Wirral South","No Vote Recorded",""
"Liz McInnes","Labour","Heywood and Middleton","Aye",""
"Catherine McKinnell","Labour","Newcastle upon Tyne North","No Vote Recorded",""
"Patrick McLoughlin","Conservative","Derbyshire Dales","No Vote Recorded",""
"Jim McMahon","Labour","Oldham West and Royton","Aye",""
"Anna McMorrin","Labour","Cardiff North","No Vote Recorded",""
"John McNally","Scottish National Party","Falkirk","No Vote Recorded",""
"Stephen McPartland","Conservative","Stevenage","No Vote Recorded",""
"Esther McVey","Conservative","Tatton","No Vote Recorded",""
"Ian Mearns","Labour","Gateshead","Aye",""
"Mark Menzies","Conservative","Fylde","No Vote Recorded",""
"Johnny Mercer","Conservative","Plymouth, Moor View","No Vote Recorded",""
"Huw Merriman","Conservative","Bexhill and Battle","Aye",""
"Stephen Metcalfe","Conservative","South Basildon and East Thurrock","No Vote Recorded",""
"Edward Miliband","Labour","Doncaster North","Aye",""
"Maria Miller","Conservative","Basingstoke","No Vote Recorded",""
"Amanda Milling","Conservative","Cannock Chase","No Vote Recorded",""
"Nigel Mills","Conservative","Amber Valley","Aye",""
"Nigel Mills","Conservative","Amber Valley","No",""
"Anne Milton","Conservative","Guildford","Aye",""
"Andrew Mitchell","Conservative","Sutton Coldfield","No Vote Recorded",""
"Francie Molloy","Sinn F?in","Mid Ulster","No Vote Recorded",""
"Carol Monaghan","Scottish National Party","Glasgow North West","No Vote Recorded",""
"Madeleine Moon","Labour","Bridgend","Aye",""
"Damien Moore","Conservative","Southport","No Vote Recorded",""
"Layla Moran","Liberal Democrat","Oxford West and Abingdon","Aye",""
"Penny Mordaunt","Conservative","Portsmouth North","Aye",""
"Jessica Morden","Labour","Newport East","No Vote Recorded",""
"Nicky Morgan","Conservative","Loughborough","No Vote Recorded",""
"Stephen Morgan","Labour","Portsmouth South","Aye",""
"Anne Marie Morris","Conservative","Newton Abbot","No Vote Recorded",""
"David Morris","Conservative","Morecambe and Lunesdale","No Vote Recorded",""
"Grahame Morris","Labour","Easington","Aye",""
